a,b,OOF_recency,OOF_bias_recency_pct,OOF_folds
0.35,0.2,0.4408,-2.718,"[0.4192, 0.4098, 0.468]"
0.375,0.0,0.4171,-2.141,"[0.3251, 0.3921, 0.4689]"
0.375,0.025,0.4193,-2.24,"[0.3353, 0.3933, 0.4684]"
0.375,0.05,0.4217,-2.338,"[0.346, 0.3949, 0.4681]"
0.375,0.075,0.4245,-2.436,"[0.3574, 0.3968, 0.4679]"
0.375,0.1,0.4276,-2.534,"[0.3693, 0.399, 0.468]"
0.375,0.125,0.4308,-2.632,"[0.3818, 0.4014, 0.4681]"
0.375,0.15,0.4344,-2.731,"[0.3947, 0.4041, 0.4684]"
0.375,0.175,0.4381,-2.829,"[0.4081, 0.4069, 0.4689]"
0.375,0.2,0.4421,-2.928,"[0.4218, 0.4099, 0.4696]"
0.4,0.0,0.4183,-2.351,"[0.3272, 0.3922, 0.4704]"
0.4,0.025,0.4205,-2.449,"[0.3374, 0.3934, 0.47]"
0.4,0.05,0.4229,-2.548,"[0.3482, 0.3949, 0.4696]"
0.4,0.075,0.4257,-2.646,"[0.3596, 0.3969, 0.4695]"
0.4,0.1,0.4289,-2.744,"[0.3717, 0.3991, 0.4696]"
0.4,0.125,0.4321,-2.843,"[0.3842, 0.4015, 0.4697]"
0.4,0.15,0.4357,-2.94,"[0.3972, 0.4041, 0.47]"
0.4,0.175,0.4395,-3.039,"[0.4106, 0.407, 0.4705]"
0.4,0.2,0.4435,-3.137,"[0.4244, 0.41, 0.4713]"
