Дата;Бренд;Артикул;Назва товару;Кількість, шт;Сума, грн;;
Січень 2024;Djeco;DJ09591;"Djeco Набір наліпок на тіло ""Щаслива весна""";49,000;5 774,34;;
Січень 2024;Djeco;DJ09596;"Djeco Набір наліпок на тіло з райдужним переливом ""Талісмани""";36,000;4 099,86;;
Січень 2024;Djeco;DJ09612;"Djeco Набір наліпок на тіло ""Ласощі""";9,000;1 039,74;;
Січень 2024;Djeco;DJ09615;"Djeco Набір наліпок на тіло ""Яскраві пташки""";73,000;8 389,56;;
Січень 2024;Djeco;DJ09707;"Djeco Набір для скретчингу ""Вишукані сукні""";21,000;4 457,88;;
Січень 2024;Djeco;DJ09808;"Djeco Набір для творчості з дерев'яними намистинами ""Квіти""";1,000;281,76;;
Січень 2024;Djeco;DJ09809;"Djeco Набір для творчості з дерев'яними намистинами ""Пташки""";32,000;9 121,44;;
Січень 2024;Djeco;DJ09810;"Djeco Набір для творчості з дерев'яними намистинами ""Метелики""";8,000;2 387,28;;
Січень 2024;Djeco;DJ09837;"DJECO Набір для виготовлення обручів ""Скарби мрій""";22,000;11 947,14;;
Січень 2024;Djeco;DJ09839;"Djeco Набір для виготовлення прикрас ""Намистинки""";13,000;5 315,10;;
Січень 2024;Djeco;DJ09864;"Djeco Художній комплект аплікація ""Солодка природа""";8,000;2 509,92;;
Січень 2024;Djeco;DJ09869;"Djeco Художній комплект колаж ""Весела піна""";9,000;3 606,54;;
Січень 2024;Djeco;DJ09871;"Djeco Набір для творчості ""Пухнасті тварини""";39,000;17 959,50;;
Січень 2024;Djeco;DJ09897;"Djeco Набір для розфарбовування ""Сімейка лисиць""";20,000;11 828,88;;
Лютий 2024;Djeco;DJ00010;"Djeco Набір для виготовлення браслетів дружби ""Серця""";4,000;1 390,38;;
Лютий 2024;Djeco;DJ00016;"Djeco Набір для виготовлення браслетів дружби ""Птахи в небі""";13,000;5 385,30;;
Лютий 2024;Djeco;DJ00025;"DJECO Набір для виготовлення намиста ""Сріблясті бульбашки""";98,000;46 730,52;;
Лютий 2024;Djeco;DJ00026;"DJECO Набір для виготовлення намиста ""Золоті бульбашки""";131,000;61 714,26;;
