tag,family,category,OOF_safe,val_SIMSCORE,val_WAPE,val_bias,val_M_WAPE,test_SIMSCORE,test_WAPE,test_bias,test_M_WAPE,val_rows,test_rows,gap_SIMSCORE,gap_bias_abs
v12_lad,V12,ensemble_or_stack,True,0.3514,0.3321,-0.595,0.0327,0.4607,0.3983,4.483,0.0801,31368,18298,0.1093,3.888
v10_lad,V10,ensemble_or_stack,True,0.3502280114906404,0.3328902042115123,-0.5686463533734682,0.0289891510245215,0.4623523235052723,0.4012916419445113,5.08799824797411,0.0712413806417807,31368,18298,0.1121243120146318,4.519351894600642
v77_recent,V7.7,individual_base,True,0.4750705336869886,0.4240760765755966,-4.535854575061557,0.0566303684721683,0.4649624353001726,0.4188195493884563,-3.1248168962949645,0.061037602860483,31452,20968,-0.0101080983868159,-1.4110376787665926
v10_stack,V10,ensemble_or_stack,True,0.3485758681574856,0.3336227662496913,-0.1188849793466259,0.0287173540221223,0.4670940825042255,0.4023034512160793,5.521715430830703,0.0743641082679853,31368,18298,0.1185182143467398,5.4028304514840775
v8_lad,V8,ensemble_or_stack,True,0.4223369284413928,0.3944207211477135,-1.4394549206453595,0.0414378653809052,0.471879760894627,0.411281847898341,-2.5718141824460967,0.095477684168111,31452,20968,0.0495428324532341,1.132359261800737
v77,V7.7,individual_base,True,0.4454124990471018,0.4135329938548531,-1.3733187711877342,0.0500258226726201,0.4771272487754024,0.4230232887054275,-1.4346551182654397,0.0938613689572955,31452,20968,0.0317147497283006,0.0613363470777053
v78,V7.8,individual_base,True,0.4443434222467634,0.4136551066079778,-1.1082097903445167,0.0502945333741259,0.4779837712683946,0.4245966274683543,-1.0268098345558558,0.096506189254522,31452,20968,0.0336403490216312,-0.0813999557886608
v75,V7-family,individual_base,True,0.4457604415527321,0.415789821871708,-0.8564989140227112,0.051376250221821,0.4820812083831687,0.4255100077333818,-1.542164651827056,0.0977207547813032,31452,20968,0.0363207668304366,0.6856657378043448
v75lad,V7-family,ensemble_or_stack,True,0.4457604415527321,0.415789821871708,-0.8564989140227112,0.051376250221821,0.4820812083831687,0.4255100077333818,-1.542164651827056,0.0977207547813032,31452,20968,0.0363207668304366,0.6856657378043448
v7sym_mae,V7-family,individual_base,True,0.46105314180816,0.4251867331062648,-1.6227789228944172,0.0555050281748461,0.4860173313009396,0.4278734457325833,-2.2265134878917916,0.0940226362577946,31452,20968,0.0249641894927795,0.6037345649973744
v77_nosegment,V7.7,individual_base,True,0.4669241288738642,0.4249291165227091,-2.1293619923841014,0.0626964047784692,0.4926938487464098,0.4289020810635803,-3.1261050408441045,0.0963224849572178,31452,20968,0.0257697198725455,0.9967430484600032
v9,V9,individual_base,True,0.4054231917003165,0.3402765797590384,-6.500912101562455,0.0652841028669317,0.4982011490083539,0.4134750293997237,-7.426219217714293,0.0951900470401173,31452,20968,0.0927779573080373,0.9253071161518384
