feature,gain_clf,gain_reg,gain_total,source
inv_to_sales_orc,1086.855800628662,8289.491587162018,9376.34738779068,internal
uah_eur_eom,5191.905388832092,4152.3887305259705,9344.294119358063,nbu_fx
lag_1_Выручка_sales,2782.0972003936768,5919.235533714294,8701.332734107971,internal
uah_eur_mom_pct,3361.980809211731,4944.679700136185,8306.660509347916,nbu_fx
lag_12,910.697395324707,6549.297440290451,7459.994835615158,internal
yoy_diff,331.5132026672363,6955.688691616058,7287.201894283295,internal
trends_board_games_puzzles,3682.274489402771,3459.3754012584686,7141.64989066124,gtrends_ua
Бренд,798.5457830429077,5954.143172740936,6752.688955783844,internal
partner_volume_tier,3642.4695205688477,3020.018488407135,6662.488008975983,internal
uah_usd_mom_pct,1587.5692024230957,4915.924262523651,6503.493464946747,nbu_fx
is_newyear,458.71039867401123,5939.2837953567505,6397.994194030762,internal
rcv_6,1382.7722024917603,4965.5689442157745,6348.341146707535,internal
nbu_policy_rate_diff_3m,3149.194493293762,3194.025794029236,6343.220287322998,nbu_fx
trends_toy_brands,1789.027813911438,4482.026703596115,6271.054517507553,gtrends_ua
nbu_policy_rate_eom,1418.508794784546,4422.597546815872,5841.106341600418,nbu_fx
demand_cv,1169.711091041565,4577.687877178192,5747.398968219757,internal
demand_accel,1148.2682046890259,4234.298103809357,5382.566308498383,internal
lag_2,1024.5673027038574,4252.325821638107,5276.893124341965,internal
Сегмент_ABC,597.4680061340332,4365.942828178406,4963.410834312439,internal
uah_usd_eom,1535.6717958450317,3174.2040133476257,4709.8758091926575,nbu_fx
stockout_orc,4027.742838859558,642.9587495326996,4670.701588392258,internal
holiday_count,1389.9125051498413,3074.9216887950897,4464.834193944931,holidays_ua
rstd_3,533.4516010284424,3821.3614995479584,4354.813100576401,internal
demand_velocity,628.2062969207764,3712.4537506103516,4340.660047531128,internal
snowfall_cm,1511.0211992263794,2624.730564594269,4135.751763820648,weather_ua
days_to_childrens_day,2002.202597618103,2105.906309604645,4108.108907222748,holidays_ua
lag_6,271.4237003326416,3592.088765859604,3863.5124661922455,internal
days_to_womens_day,1500.5129070281982,2190.714984178543,3691.2278912067413,holidays_ua
month_sin,1542.2459077835083,2111.519624233246,3653.765532016754,internal
days_to_ny,1789.2168922424316,1570.898755311966,3360.1156475543976,holidays_ua
year,493.5179023742676,2668.2350566387177,3161.7529590129852,internal
yoy_ratio,362.8642997741699,2798.2083132267,3161.0726130008698,internal
promo_discount_pct,410.0203046798706,2524.7321071624756,2934.752411842346,internal
lag_3,235.1227970123291,2577.754774093628,2812.877571105957,internal
price_change_flag,1338.8093967437744,866.5076422691345,2205.317039012909,internal
is_new_sku,1041.5185050964355,1077.4727473258972,2118.9912524223328,internal
lag_range_3,382.0638999938965,1180.7357697486877,1562.7996697425842,internal
stockout_orc_prev,1200.9255924224854,209.540851354599,1410.4664437770844,internal
months_until_back_to_school,436.51459980010986,712.7478566169739,1149.2624564170837,school_ua
major_holiday_in_month,580.4595937728882,354.4235382080078,934.883131980896,holidays_ua
quarter,236.48179721832275,515.0915441513062,751.5733413696289,internal
is_wartime,146.57500076293945,411.8962755203247,558.4712762832642,internal
school_in_session,275.145299911499,198.73496913909912,473.88026905059814,school_ua
preholiday_nov,243.62489891052246,202.97520112991333,446.6001000404358,holidays_ua
is_promo,24.422800064086914,293.4932007789612,317.9160008430481,internal
trend_down_3m,43.13319969177246,248.7006893157959,291.83388900756836,internal
is_summer,59.487399101257324,184.24770069122314,243.73509979248047,internal
cold_month_flag,115.89099884033203,34.704060554504395,150.59505939483643,weather_ua
is_dec,0.0,147.76776790618896,147.76776790618896,holidays_ua
trend_up_3m,0.0,135.39576935768127,135.39576935768127,internal
wet_month_flag,46.49980163574219,68.98942971229553,115.48923134803772,weather_ua
easter_month_flag,25.191499710083008,38.73818922042847,63.929688930511475,holidays_ua
summer_break,42.1875,0.0,42.1875,school_ua
is_sept,16.687000274658203,15.596760272979736,32.28376054763794,internal
