Партнер,Артикул,Период,Бренд,forecast_monthly,demand_lead_time,safety_stock,reorder_point,current_stock_orc,recommended_order
ІМ-Розетка,DJ09838,2026-02,Djeco,0.0,0.1,5.1,5.2,0.0,5
Епіцентр,316745I,2026-02,Infantino,0.6,1.2,4.1,5.3,0.0,5
Епіцентр,316577,2026-02,Infantino,0.0,0.0,5.1,5.1,0.0,5
Епіцентр,316564,2026-02,Infantino,0.0,0.0,4.6,4.6,0.0,5
Чудо Острів,DS0980h,2026-02,Cubic Fun,0.4,0.7,4.3,5.0,0.0,5
Епіцентр,315238,2026-02,Infantino,0.0,0.0,5.0,5.0,0.0,5
Епіцентр,315206,2026-02,Infantino,0.0,0.0,4.8,4.8,0.0,5
Епіцентр,315093I,2026-02,Infantino,0.0,0.0,5.0,5.0,0.0,5
БІ,T4008h,2026-02,Cubic Fun,0.1,0.1,5.3,5.4,0.0,5
Епіцентр,315023,2026-02,Infantino,0.0,0.0,4.9,4.9,0.0,5
Белес,DS1177h,2026-02,Cubic Fun,0.4,0.8,4.0,4.8,0.0,5
Смік,316188I,2026-02,Infantino,0.0,0.0,4.8,4.8,0.0,5
Мегамаркет,S3008h,2026-02,Cubic Fun,1.8,3.5,1.4,4.9,0.0,5
Мегамаркет,MC253h,2026-02,Cubic Fun,1.8,3.5,1.5,5.0,0.0,5
Мегамаркет,L523h,2026-02,Cubic Fun,1.6,3.1,1.5,4.6,0.0,5
Епіцентр,216570I,2026-02,Infantino,0.1,0.1,5.2,5.4,0.0,5
БІ,DJ08186,2026-02,Djeco,0.0,0.1,4.9,4.9,0.0,5
Чудо Острів,DJ09272,2026-02,Djeco,1.6,3.3,1.4,4.6,0.0,5
Епіцентр,216320I,2026-02,Infantino,0.1,0.1,4.8,4.9,0.0,5
Епіцентр,216289I,2026-02,Infantino,0.1,0.1,4.8,5.0,0.0,5
Епіцентр,216274I,2026-02,Infantino,0.0,0.0,4.5,4.6,0.0,5
СмартТойс,W3301h,2026-02,Cubic Fun,0.0,0.0,4.9,4.9,0.0,5
Епіцентр,C094h,2026-02,Cubic Fun,0.0,0.0,4.8,4.9,0.0,5
ІМ-Розетка,DJ09808,2026-02,Djeco,0.0,0.0,4.5,4.5,0.0,5
Епіцентр,C241h,2026-02,Cubic Fun,0.0,0.0,5.0,5.0,0.0,5
Смік,216279I,2026-02,Infantino,0.0,0.0,5.2,5.2,0.0,5
Єва,005058,2026-02,unknown,1.5,3.0,2.2,5.1,0.0,5
Смік,206105I,2026-02,Infantino,0.1,0.1,4.4,4.5,0.0,5
Чудо Острів,T4017h,2026-02,Cubic Fun,0.1,0.1,5.2,5.3,0.0,5
Смік,306307I,2026-02,Infantino,0.0,0.0,4.8,4.8,0.0,5
Смік,306912I,2026-02,Infantino,0.0,0.0,4.6,4.6,0.0,5
БІ,T4038h,2026-02,Cubic Fun,0.0,0.0,4.5,4.5,0.0,5
Чудо Острів,MC269h,2026-02,Cubic Fun,0.0,0.0,5.3,5.3,0.0,5
Чудо Острів,MC267h,2026-02,Cubic Fun,0.0,0.0,5.3,5.3,0.0,5
Чудо Острів,MC255h,2026-02,Cubic Fun,1.2,2.5,2.2,4.7,0.0,5
Смік,005362I,2026-02,Infantino,0.0,0.1,4.7,4.8,0.0,5
БІ,DJ09063,2026-02,Djeco,0.0,0.0,5.2,5.3,0.0,5
Чудо Острів,L540h,2026-02,Cubic Fun,0.6,1.2,3.9,5.2,0.0,5
Чудо Острів,L525h,2026-02,Cubic Fun,0.0,0.0,5.0,5.0,0.0,5
БІ,DJ08997,2026-02,Djeco,0.3,0.5,4.6,5.1,0.0,5
Епіцентр,DJ09575,2026-02,Djeco,0.5,1.1,4.1,5.2,0.0,5
Смік,315178,2026-02,Infantino,0.0,0.0,5.4,5.4,0.0,5
БІ,DJ09498,2026-02,Djeco,0.0,0.0,5.3,5.3,0.0,5
Епіцентр,C242h,2026-02,Cubic Fun,0.1,0.1,4.4,4.5,0.0,5
Епіцентр,DS1051h,2026-02,Cubic Fun,0.0,0.0,4.7,4.7,0.0,5
Епіцентр,005378I,2026-02,Infantino,0.1,0.1,4.8,4.9,0.0,5
БІ,DJ07955,2026-02,Djeco,0.1,0.1,5.2,5.4,0.0,5
Епіцентр,004915I,2026-02,Infantino,0.1,0.1,5.2,5.3,0.0,5
МайПлей,T4005h,2026-02,Cubic Fun,0.0,0.0,4.8,4.9,0.0,5
Епіцентр,T4011h,2026-02,Cubic Fun,0.0,0.0,4.8,4.9,0.0,5
Гудвайн,DJ08841,2026-02,Djeco,1.6,3.3,1.4,4.6,0.0,5
Епіцентр,T4032h,2026-02,Cubic Fun,0.0,0.0,4.8,4.9,0.0,5
Акварель,DJ07161,2026-02,Djeco,0.1,0.1,4.9,5.0,0.0,5
Чудо Острів,316745I,2026-02,Infantino,0.4,0.8,4.4,5.2,0.0,5
Епіцентр,W3300h,2026-02,Cubic Fun,0.6,1.2,3.9,5.2,0.0,5
МайПлей,MC254h,2026-02,Cubic Fun,0.2,0.5,4.6,5.1,0.0,5
МайПлей,MC253h,2026-02,Cubic Fun,0.2,0.5,4.9,5.3,0.0,5
ІМ-Розетка,DJ09015,2026-02,Djeco,0.0,0.0,4.9,4.9,0.0,5
БІ,315193,2026-02,Infantino,0.1,0.2,4.6,4.8,0.0,5
БІ,315058,2026-02,Infantino,0.0,0.0,4.8,4.9,0.0,5
Гудвайн,DD03767,2026-02,Djeco,1.6,3.3,1.4,4.6,0.0,5
МайПлей,L532h,2026-02,Cubic Fun,0.0,0.0,4.7,4.7,0.0,5
МайПлей,L525h,2026-02,Cubic Fun,0.5,1.1,4.0,5.1,0.0,5
МайПлей,L523h,2026-02,Cubic Fun,0.9,1.8,3.5,5.3,0.0,5
Клас,P865h,2026-02,Cubic Fun,0.0,0.0,5.0,5.0,0.0,5
БІ,305211,2026-02,Infantino,0.0,0.0,5.5,5.5,0.0,5
БІ,DS1175h,2026-02,Cubic Fun,0.0,0.0,5.2,5.2,0.0,5
БІ,DD03757,2026-02,Djeco,0.0,0.0,4.6,4.6,0.0,5
МайПлей,T4018h,2026-02,Cubic Fun,0.0,0.0,5.2,5.3,0.0,5
Гудвайн,DJ09329,2026-02,Djeco,0.9,1.8,2.9,4.7,0.0,5
Мегамаркет,DD03767,2026-02,Djeco,1.6,3.3,1.4,4.6,0.0,5
Епіцентр,004885I,2026-02,Infantino,0.2,0.4,4.2,4.6,0.0,5
Епіцентр,DS1058h,2026-02,Cubic Fun,0.0,0.0,5.4,5.4,0.0,5
Епіцентр,DS1080h,2026-02,Cubic Fun,0.0,0.0,4.7,4.7,0.0,5
Епіцентр,DS1082h,2026-02,Cubic Fun,0.0,0.0,5.4,5.4,0.0,5
Епіцентр,DS1086h,2026-02,Cubic Fun,0.0,0.0,5.4,5.4,0.0,5
БІ,DJ05169,2026-02,Djeco,0.0,0.0,5.3,5.3,0.0,5
Смік,DD03766,2026-02,Djeco,0.0,0.0,5.5,5.5,0.0,5
Чудо Острів,DJ08157,2026-02,Djeco,0.0,0.0,4.5,4.5,0.0,5
Епіцентр,DS1177h,2026-02,Cubic Fun,0.6,1.2,4.2,5.5,0.0,5
Епіцентр,S3009h,2026-02,Cubic Fun,0.1,0.1,5.2,5.4,0.0,5
БІ,DJ03086,2026-02,Djeco,0.0,0.0,4.9,4.9,0.0,5
ІМ-Розетка,DD03767,2026-02,Djeco,0.0,0.0,4.7,4.7,0.0,5
Епіцентр,MC256h,2026-02,Cubic Fun,0.1,0.1,5.2,5.4,0.0,5
БІ,DJ00061,2026-02,Djeco,0.4,0.7,4.2,4.9,0.0,5
Гудвайн,DJ09615,2026-02,Djeco,0.0,0.0,5.0,5.0,0.0,5
Епіцентр,P865h,2026-02,Cubic Fun,0.4,0.8,4.4,5.1,0.0,5
БІ,DJ00017,2026-02,Djeco,0.0,0.0,4.6,4.6,0.0,5
БІ,DJ00016,2026-02,Djeco,0.2,0.5,4.2,4.7,0.0,5
Акварель,DJ07112,2026-02,Djeco,0.0,0.0,4.9,4.9,0.0,5
Антошка,DS1090h,2026-02,Cubic Fun,0.0,0.0,5.5,5.5,0.0,5
Акварель,DS1080h,2026-02,Cubic Fun,0.0,0.0,5.4,5.4,0.0,5
Акварель,DJ08194,2026-02,Djeco,0.0,0.0,4.9,4.9,0.0,5
Акварель,DJ09524,2026-02,Djeco,0.0,0.0,5.1,5.1,0.0,5
БІ,DJ09888,2026-02,Djeco,0.0,0.0,4.7,4.7,0.0,5
Акварель,DJ08533,2026-02,Djeco,0.0,0.0,4.8,4.9,0.0,5
МайПлей,206893I,2026-02,Infantino,0.0,0.0,4.9,4.9,0.0,5
Акварель,DJ08477,2026-02,Djeco,0.1,0.1,5.1,5.2,0.0,5
Акварель,DJ08464,2026-02,Djeco,0.1,0.1,4.4,4.5,0.0,5
Віват Канцелярія,DS0978h,2026-02,Cubic Fun,0.1,0.1,4.8,4.9,0.0,5
Акварель,DJ08463,2026-02,Djeco,0.1,0.1,4.8,5.0,0.0,5
Акварель,DJ09272,2026-02,Djeco,0.0,0.0,4.5,4.5,0.0,5
Антошка,305192,2026-02,Infantino,0.0,0.0,5.5,5.5,0.0,5
Антошка,C094h,2026-02,Cubic Fun,0.0,0.0,4.8,4.9,0.0,5
Акварель,DJ09587,2026-02,Djeco,0.0,0.0,4.8,4.9,0.0,5
Антошка,005060I,2026-02,Infantino,0.0,0.0,5.3,5.3,0.0,5
Акварель,DJ08830,2026-02,Djeco,0.0,0.0,4.9,4.9,0.0,5
Акварель,DJ08164,2026-02,Djeco,0.0,0.0,4.9,4.9,0.0,5
Акварель,DJ08162,2026-02,Djeco,0.1,0.1,4.4,4.5,0.0,5
Антошка,C080h,2026-02,Cubic Fun,0.1,0.1,5.2,5.4,0.0,5
Антошка,005059I,2026-02,Infantino,0.1,0.1,4.4,4.5,0.0,5
Акварель,DJ09590,2026-02,Djeco,0.0,0.0,4.9,4.9,0.0,5
Акварель,DJ09591,2026-02,Djeco,0.1,0.1,4.8,4.9,0.0,5
Акварель,DJ09108,2026-02,Djeco,0.0,0.0,4.6,4.7,0.0,5
Антошка,316745I,2026-02,Infantino,0.6,1.2,4.1,5.3,0.0,5
Акварель,DJ09075,2026-02,Djeco,0.0,0.0,5.2,5.2,0.0,5
Акварель,DJ08664,2026-02,Djeco,0.1,0.1,4.8,5.0,0.0,5
Акварель,DJ09807,2026-02,Djeco,0.2,0.5,4.7,5.2,0.0,5
Акварель,W3300h,2026-02,Cubic Fun,0.2,0.4,4.5,4.9,0.0,5
Антошка,DJ07922,2026-02,Djeco,0.0,0.0,5.4,5.4,0.0,5
Акварель,DJ09522,2026-02,Djeco,0.0,0.0,4.8,4.9,0.0,5
МайПлей,216216I,2026-02,Infantino,0.1,0.1,5.2,5.3,0.0,5
РОСТ,MC253h,2026-02,Cubic Fun,1.4,2.8,1.9,4.7,0.0,5
Віват Канцелярія,DS1079h,2026-02,Cubic Fun,0.4,0.7,4.0,4.8,0.0,5
Акварель,DJ09348,2026-02,Djeco,0.1,0.1,4.9,5.0,0.0,5
Смік,S3018h,2026-02,Cubic Fun,0.0,0.0,4.8,4.8,0.0,5
Віват Канцелярія,DS1059h,2026-02,Cubic Fun,0.0,0.0,4.6,4.6,0.0,5
БІ,DJ09784,2026-02,Djeco,0.1,0.1,5.2,5.4,0.0,5
Акварель,DJ09409,2026-02,Djeco,0.1,0.1,5.2,5.4,0.0,5
МайПлей,DJ08533,2026-02,Djeco,0.0,0.0,4.5,4.5,0.0,5
Антошка,DJ05096,2026-02,Djeco,0.1,0.1,5.2,5.4,0.0,5
Віват Канцелярія,DS1057h,2026-02,Cubic Fun,0.0,0.0,4.6,4.6,0.0,5
МайПлей,216271I,2026-02,Infantino,0.1,0.1,4.9,5.0,0.0,5
Акварель,DJ09332,2026-02,Djeco,0.1,0.1,5.2,5.4,0.0,5
Антошка,216320I,2026-02,Infantino,0.0,0.0,4.8,4.9,0.0,5
Антошка,DJ05117,2026-02,Djeco,0.0,0.0,4.6,4.6,0.0,5
Акварель,DJ09437,2026-02,Djeco,0.0,0.0,5.1,5.1,0.0,5
Чудо Острів,212017I,2026-02,Infantino,0.0,0.0,4.8,4.9,0.0,5
Акварель,DJ08550,2026-02,Djeco,0.0,0.1,4.5,4.6,0.0,5
Антошка,DJ05208,2026-02,Djeco,0.0,0.0,5.3,5.3,0.0,5
Антошка,DJ05218,2026-02,Djeco,0.1,0.1,5.2,5.4,0.0,5
МайПлей,216279I,2026-02,Infantino,0.0,0.1,4.5,4.6,0.0,5
Акварель,DJ08542,2026-02,Djeco,0.0,0.0,4.6,4.6,0.0,5
Чудо Острів,216570I,2026-02,Infantino,0.0,0.0,4.8,4.9,0.0,5
Акварель,DJ09498,2026-02,Djeco,0.1,0.1,5.2,5.4,0.0,5
Антошка,DD04805,2026-02,Djeco,0.0,0.0,4.8,4.8,0.0,5
МайПлей,216267I,2026-02,Infantino,0.0,0.0,5.3,5.3,0.0,5
Антошка,DJ07162,2026-02,Djeco,0.1,0.1,5.2,5.4,0.0,5
Антошка,DJ08557,2026-02,Djeco,0.1,0.1,4.8,4.9,0.0,5
Акварель,DJ08158,2026-02,Djeco,0.1,0.1,5.2,5.3,0.0,5
МайПлей,005059I,2026-02,Infantino,0.0,0.0,4.6,4.6,0.0,5
Акварель,DJ07901,2026-02,Djeco,0.0,0.0,4.8,4.9,0.0,5
Акварель,T4008h,2026-02,Cubic Fun,0.1,0.1,5.2,5.4,0.0,5
Антошка,DJ08897,2026-02,Djeco,0.1,0.1,5.2,5.4,0.0,5
РОСТ,S3010h,2026-02,Cubic Fun,0.5,1.0,4.0,5.0,0.0,5
Смік,MC255h,2026-02,Cubic Fun,0.0,0.0,4.5,4.5,0.0,5
Акварель,DS1053h,2026-02,Cubic Fun,0.0,0.1,4.8,4.9,0.0,5
Акварель,DS1086h,2026-02,Cubic Fun,0.0,0.0,5.4,5.4,0.0,5
МайПлей,216429I,2026-02,Infantino,0.1,0.1,5.2,5.4,0.0,5
Акварель,DJ07922,2026-02,Djeco,0.0,0.0,5.0,5.0,0.0,5
Акварель,DS1090h,2026-02,Cubic Fun,0.0,0.0,5.1,5.1,0.0,5
Віват Канцелярія,L538h,2026-02,Cubic Fun,0.0,0.0,5.4,5.4,0.0,5
Антошка,315092,2026-02,Infantino,0.0,0.0,4.8,4.9,0.0,5
Акварель,T4011h,2026-02,Cubic Fun,0.0,0.0,5.4,5.4,0.0,5
Віват Канцелярія,DS0986h,2026-02,Cubic Fun,0.2,0.5,4.7,5.2,0.0,5
МайПлей,216570I,2026-02,Infantino,0.0,0.0,4.8,4.9,0.0,5
МайПлей,206688I,2026-02,Infantino,0.0,0.0,4.8,4.9,0.0,5
Акварель,DJ08997,2026-02,Djeco,0.0,0.0,4.8,4.9,0.0,5
Акварель,DJ07900,2026-02,Djeco,0.0,0.0,4.8,4.9,0.0,5
МайПлей,216571,2026-02,Infantino,0.0,0.0,5.1,5.1,0.0,5
Акварель,DJ08982,2026-02,Djeco,0.0,0.0,4.7,4.7,0.0,5
Акварель,MC269h,2026-02,Cubic Fun,0.0,0.0,5.3,5.3,0.0,5
Віват Канцелярія,DS0991h,2026-02,Cubic Fun,0.1,0.1,4.8,5.0,0.0,5
Антошка,DJ09074,2026-02,Djeco,0.0,0.0,4.7,4.7,0.0,5
Акварель,DJ09056,2026-02,Djeco,0.0,0.0,4.8,4.9,0.0,5
Чудо Острів,005060I,2026-02,Infantino,0.0,0.0,4.8,4.9,0.0,5
Антошка,302032,2026-02,Infantino,0.0,0.0,5.4,5.4,0.0,5
Антошка,DJ08664,2026-02,Djeco,0.0,0.0,4.8,4.9,0.0,5
Антошка,307015,2026-02,Infantino,0.1,0.1,4.5,4.6,0.0,5
Акварель,DJ09837,2026-02,Djeco,0.0,0.0,4.6,4.6,0.0,5
Акварель,DJ09839,2026-02,Djeco,0.0,0.0,4.8,4.8,0.0,5
МайПлей,DJ09750,2026-02,Djeco,0.1,0.1,5.3,5.4,0.0,5
Акварель,T4038h,2026-02,Cubic Fun,0.0,0.0,4.9,4.9,0.0,5
Акварель,DJ09869,2026-02,Djeco,0.0,0.0,4.6,4.6,0.0,5
Акварель,DJ08841,2026-02,Djeco,0.6,1.1,4.1,5.2,0.0,5
Акварель,DJ09808,2026-02,Djeco,0.1,0.1,4.9,5.0,0.0,5
Клас,T4035h,2026-02,Cubic Fun,0.0,0.0,5.0,5.0,0.0,5
Акварель,DJ09057,2026-02,Djeco,0.0,0.0,4.5,4.5,0.0,5
Гудвайн,DJ09837,2026-02,Djeco,1.6,3.3,1.2,4.4,0.0,4
Акварель,DJ09331,2026-02,Djeco,0.0,0.0,3.6,3.7,0.0,4
БІ,DD04717,2026-02,Djeco,0.2,0.5,3.7,4.2,0.0,4
ІМ-Розетка,DJ05153,2026-02,Djeco,0.5,1.0,3.2,4.2,0.0,4
Віват Канцелярія,DS0984h,2026-02,Cubic Fun,0.0,0.0,4.0,4.0,0.0,4
Гудвайн,DJ09507,2026-02,Djeco,1.6,3.3,1.2,4.4,0.0,4
МайПлей,DJ08860,2026-02,Djeco,0.0,0.0,3.6,3.6,0.0,4
БІ,DJ00819,2026-02,Djeco,0.6,1.2,2.7,4.0,0.0,4
Акварель,DJ09066,2026-02,Djeco,0.0,0.0,4.1,4.2,0.0,4
Віват Канцелярія,DS0981h,2026-02,Cubic Fun,0.0,0.1,4.3,4.4,0.0,4
МайПлей,T4017h,2026-02,Cubic Fun,0.0,0.0,4.4,4.5,0.0,4
ІМ-Розетка,206688I,2026-02,Infantino,0.0,0.0,4.2,4.2,0.0,4
БІ,DD04727,2026-02,Djeco,0.0,0.0,4.4,4.4,0.0,4
Акварель,DJ09015,2026-02,Djeco,0.0,0.0,4.0,4.0,0.0,4
МайПлей,T4011h,2026-02,Cubic Fun,0.0,0.0,3.6,3.7,0.0,4
Антошка,315193,2026-02,Infantino,0.0,0.0,3.9,3.9,0.0,4
Віват Канцелярія,DJ08797,2026-02,Djeco,0.0,0.0,4.4,4.4,0.0,4
ІМ-Розетка,DD03765,2026-02,Djeco,0.0,0.0,4.1,4.1,0.0,4
МайПлей,DJ08934,2026-02,Djeco,0.0,0.0,3.5,3.5,0.0,4
БІ,DD04728,2026-02,Djeco,0.0,0.0,3.6,3.6,0.0,4
МайПлей,DJ08932,2026-02,Djeco,0.0,0.0,4.2,4.2,0.0,4
Мегамаркет,C242h,2026-02,Cubic Fun,0.0,0.0,3.8,3.9,0.0,4
БІ,DJ00014,2026-02,Djeco,0.0,0.0,3.8,3.8,0.0,4
Чудо Острів,216274I,2026-02,Infantino,0.0,0.0,3.6,3.6,0.0,4
Антошка,305048I,2026-02,Infantino,0.0,0.0,3.8,3.8,0.0,4
Чудо Острів,DJ08120,2026-02,Djeco,0.0,0.0,3.9,3.9,0.0,4
МайПлей,T4039h,2026-02,Cubic Fun,0.0,0.0,3.7,3.7,0.0,4
БІ,DJ00010,2026-02,Djeco,0.0,0.0,3.6,3.6,0.0,4
Смік,DD03768,2026-02,Djeco,0.0,0.0,3.8,3.8,0.0,4
ІМ-Розетка,DJ03087,2026-02,Djeco,0.0,0.0,3.6,3.6,0.0,4
БІ,DD04809,2026-02,Djeco,0.0,0.0,4.0,4.0,0.0,4
ІМ-Розетка,DJ05117,2026-02,Djeco,0.1,0.1,4.2,4.4,0.0,4
Антошка,313021I,2026-02,Infantino,0.0,0.0,3.6,3.6,0.0,4
Акварель,DJ09293,2026-02,Djeco,0.0,0.0,4.4,4.4,0.0,4
Віват Канцелярія,DJ09864,2026-02,Djeco,1.5,3.1,1.4,4.5,0.0,4
Чудо Острів,DJ08166,2026-02,Djeco,0.0,0.0,3.8,3.8,0.0,4
Віват Канцелярія,DJ09810,2026-02,Djeco,0.0,0.0,4.4,4.4,0.0,4
БІ,DD04805,2026-02,Djeco,0.0,0.0,3.7,3.7,0.0,4
МайПлей,DJ05096,2026-02,Djeco,0.0,0.1,4.4,4.5,0.0,4
БІ,DD04804,2026-02,Djeco,0.0,0.0,3.7,3.8,0.0,4
Акварель,DJ09507,2026-02,Djeco,0.0,0.0,3.8,3.9,0.0,4
БІ,DJ06970,2026-02,Djeco,0.0,0.0,3.7,3.7,0.0,4
Акварель,DJ09422,2026-02,Djeco,0.0,0.0,4.0,4.0,0.0,4
Акварель,DS1054h,2026-02,Cubic Fun,0.0,0.0,4.4,4.4,0.0,4
Чудо Острів,MC256h,2026-02,Cubic Fun,0.0,0.0,3.9,3.9,0.0,4
Чудо Острів,005151I,2026-02,Infantino,0.0,0.0,4.2,4.3,0.0,4
МайПлей,004915I,2026-02,Infantino,0.1,0.1,4.1,4.3,0.0,4
Смік,DS0990h,2026-02,Cubic Fun,0.0,0.0,3.6,3.6,0.0,4
Смік,005059I,2026-02,Infantino,0.0,0.0,4.0,4.0,0.0,4
Акварель,DJ09871,2026-02,Djeco,0.0,0.1,4.4,4.5,0.0,4
Акварель,DJ09864,2026-02,Djeco,0.2,0.5,3.5,4.0,0.0,4
Акварель,DJ09863,2026-02,Djeco,0.0,0.0,4.0,4.0,0.0,4
Епіцентр,DD04717,2026-02,Djeco,0.0,0.0,3.9,3.9,0.0,4
Акварель,DJ09809,2026-02,Djeco,0.1,0.1,4.1,4.3,0.0,4
БІ,DJ08885,2026-02,Djeco,0.0,0.0,3.8,3.8,0.0,4
Чудо Острів,004627I,2026-02,Infantino,0.0,0.0,4.4,4.4,0.0,4
Чудо Острів,DS0981h,2026-02,Cubic Fun,0.0,0.0,4.0,4.0,0.0,4
БІ,DJ09897,2026-02,Djeco,0.0,0.0,3.9,3.9,0.0,4
Смік,306161I,2026-02,Infantino,0.0,0.0,3.7,3.7,0.0,4
МайПлей,DJ09231,2026-02,Djeco,0.0,0.0,3.6,3.7,0.0,4
Смік,DS1059h,2026-02,Cubic Fun,0.0,0.0,3.7,3.7,0.0,4
Юпіджи,S3010h,2026-02,Cubic Fun,0.0,0.0,4.3,4.3,0.0,4
Юпіджи,T4032h,2026-02,Cubic Fun,0.0,0.0,4.3,4.3,0.0,4
БРСМ,S3012h,2026-02,Cubic Fun,0.0,0.0,3.7,3.7,0.0,4
Смік,216271I,2026-02,Infantino,0.0,0.0,3.7,3.7,0.0,4
БІ,DJ09380,2026-02,Djeco,0.0,0.0,3.6,3.6,0.0,4
Белес,C044h,2026-02,Cubic Fun,0.0,0.0,3.6,3.6,0.0,4
Бебі Плюс,C242h,2026-02,Cubic Fun,0.0,0.0,3.9,3.9,0.0,4
Смік,DS1079h,2026-02,Cubic Fun,0.0,0.0,3.8,3.8,0.0,4
Смік,206301I,2026-02,Infantino,0.0,0.0,4.1,4.1,0.0,4
Юпіджи,S3008h,2026-02,Cubic Fun,0.0,0.0,4.3,4.3,0.0,4
Юпіджи,C242h,2026-02,Cubic Fun,0.0,0.0,3.5,3.5,0.0,4
МайПлей,DJ09108,2026-02,Djeco,0.0,0.0,4.2,4.2,0.0,4
Смік,206688I,2026-02,Infantino,0.1,0.1,3.9,4.1,0.0,4
Чудо Острів,T4019h,2026-02,Cubic Fun,0.1,0.1,4.1,4.2,0.0,4
БІ,DJ09268,2026-02,Djeco,0.0,0.0,4.2,4.3,0.0,4
МайПлей,DJ09293,2026-02,Djeco,0.0,0.0,3.8,3.8,0.0,4
Антошка,004885I,2026-02,Infantino,0.2,0.4,4.1,4.5,0.0,4
Епіцентр,315213,2026-02,Infantino,0.0,0.0,4.3,4.3,0.0,4
Чудо Острів,DJ08897,2026-02,Djeco,0.7,1.3,2.2,3.6,0.0,4
Акварель,DJ09508,2026-02,Djeco,0.0,0.0,4.2,4.3,0.0,4
Чудо Острів,DJ09231,2026-02,Djeco,0.0,0.0,3.9,3.9,0.0,4
Антошка,315206,2026-02,Infantino,0.4,0.7,3.1,3.8,0.0,4
Мегамаркет,DS0986h,2026-02,Cubic Fun,1.2,2.4,1.7,4.1,0.0,4
Акварель,DJ09503,2026-02,Djeco,0.1,0.1,4.0,4.2,0.0,4
Акварель,DJ09500,2026-02,Djeco,0.0,0.0,3.6,3.7,0.0,4
БІ,DJ08132,2026-02,Djeco,0.0,0.0,3.8,3.8,0.0,4
Епіцентр,302035,2026-02,Infantino,0.0,0.0,4.5,4.5,0.0,4
Кубі,DS1079h,2026-02,Cubic Fun,0.0,0.0,4.3,4.3,0.0,4
Смік,DS0980h,2026-02,Cubic Fun,0.0,0.0,4.3,4.3,0.0,4
Епіцентр,005151I,2026-02,Infantino,0.0,0.0,4.2,4.2,0.0,4
Антошка,216560I,2026-02,Infantino,0.6,1.2,2.8,4.0,0.0,4
Акварель,DJ09425,2026-02,Djeco,0.0,0.1,3.7,3.8,0.0,4
Епіцентр,004896I,2026-02,Infantino,0.1,0.1,3.9,4.0,0.0,4
Антошка,206105I,2026-02,Infantino,0.0,0.0,3.5,3.5,0.0,4
Антошка,205052,2026-02,Infantino,0.0,0.1,4.4,4.5,0.0,4
Акварель,DJ09684,2026-02,Djeco,0.6,1.2,2.4,3.6,0.0,4
Епіцентр,307015,2026-02,Infantino,0.0,0.0,4.4,4.4,0.0,4
Антошка,004909I,2026-02,Infantino,0.0,0.0,3.8,3.9,0.0,4
БІ,DJ08577,2026-02,Djeco,0.0,0.0,3.6,3.6,0.0,4
Акварель,DJ09615,2026-02,Djeco,0.0,0.0,3.7,3.7,0.0,4
Епіцентр,315092,2026-02,Infantino,0.0,0.0,3.8,3.8,0.0,4
Монако,005364,2026-02,unknown,0.4,0.8,3.2,4.0,0.0,4
Монако,005209,2026-02,unknown,0.1,0.2,3.4,3.5,0.0,4
Акварель,DJ09586,2026-02,Djeco,0.1,0.1,4.4,4.5,0.0,4
Антошка,005378I,2026-02,Infantino,0.0,0.0,4.2,4.2,0.0,4
Епіцентр,306606,2026-02,Infantino,0.0,0.0,3.6,3.6,0.0,4
Епіцентр,DS0981h,2026-02,Cubic Fun,0.0,0.0,4.0,4.0,0.0,4
Акварель,DJ09584,2026-02,Djeco,0.0,0.0,4.3,4.3,0.0,4
Смік,316259,2026-02,Infantino,0.0,0.0,3.8,3.8,0.0,4
Епіцентр,305048I,2026-02,Infantino,0.0,0.0,3.6,3.6,0.0,4
Епіцентр,304893I,2026-02,Infantino,0.0,0.0,3.6,3.6,0.0,4
ІМ-Розетка,DJ08451,2026-02,Djeco,0.0,0.0,3.6,3.7,0.0,4
МайПлей,302035,2026-02,Infantino,0.0,0.0,4.4,4.4,0.0,4
ІМ-Розетка,DJ08464,2026-02,Djeco,0.0,0.0,3.6,3.6,0.0,4
Антошка,DJ08542,2026-02,Djeco,0.0,0.0,3.6,3.6,0.0,4
Акварель,DJ03087,2026-02,Djeco,0.0,0.0,3.6,3.6,0.0,4
Смік,DS1083h,2026-02,Cubic Fun,0.0,0.0,4.0,4.0,0.0,4
Акварель,DJ05092,2026-02,Djeco,0.0,0.0,4.0,4.0,0.0,4
МайПлей,216289I,2026-02,Infantino,0.1,0.1,4.1,4.3,0.0,4
Антошка,DJ08533,2026-02,Djeco,0.0,0.0,4.1,4.1,0.0,4
Антошка,DJ08535,2026-02,Djeco,0.0,0.1,3.8,3.8,0.0,4
МайПлей,315023,2026-02,Infantino,0.0,0.0,3.5,3.5,0.0,4
Акварель,DJ08132,2026-02,Djeco,0.0,0.0,4.1,4.1,0.0,4
МайПлей,DJ08463,2026-02,Djeco,0.0,0.0,4.4,4.4,0.0,4
Акварель,DJ08129,2026-02,Djeco,0.0,0.1,3.9,4.0,0.0,4
Антошка,DS1054h,2026-02,Cubic Fun,0.0,0.0,3.8,3.8,0.0,4
Антошка,DS1053h,2026-02,Cubic Fun,0.0,0.0,4.4,4.4,0.0,4
МайПлей,DJ09868,2026-02,Djeco,0.0,0.0,4.1,4.1,0.0,4
