weights,w_base,w_v12ext,w_v11g93,w_chronos_ft,OOF_recency,OOF_bias_recency_pct,last_fold_bias_pct
"[0.825, 0.025, 0.025, 0.125]",0.825,0.025,0.025,0.125,0.42762,-2.5461,-0.122
"[0.8, 0.025, 0.025, 0.15]",0.8,0.025,0.025,0.15,0.4331,-2.8314999999999997,-0.146
"[0.75, 0.025, 0.025, 0.2]",0.75,0.025,0.025,0.2,0.44526,-3.4019000000000004,-0.192
"[0.925, 0.025, 0.05, 0.0]",0.925,0.025,0.05,0.0,0.41132,-1.2822999999999998,-0.223
"[0.9, 0.025, 0.05, 0.025]",0.9,0.025,0.05,0.025,0.41361,-1.5675000000000001,-0.246
"[0.875, 0.025, 0.05, 0.05]",0.875,0.025,0.05,0.05,0.41644000000000003,-1.8527000000000002,-0.269
"[0.85, 0.025, 0.05, 0.075]",0.85,0.025,0.05,0.075,0.41985,-2.1376,-0.292
"[0.825, 0.025, 0.05, 0.1]",0.825,0.025,0.05,0.1,0.42389,-2.4235,-0.316
"[0.8, 0.025, 0.05, 0.125]",0.8,0.025,0.05,0.125,0.42876000000000003,-2.7087000000000003,-0.339
"[0.775, 0.025, 0.05, 0.15]",0.775,0.025,0.05,0.15,0.43421,-2.9936000000000003,-0.362
"[0.725, 0.025, 0.05, 0.2]",0.725,0.025,0.05,0.2,0.44644,-3.5640000000000005,-0.408
"[0.9, 0.025, 0.075, 0.0]",0.9,0.025,0.075,0.0,0.41208999999999996,-1.4444,-0.439
"[0.875, 0.025, 0.075, 0.025]",0.875,0.025,0.075,0.025,0.41445,-1.7296,-0.462
"[0.85, 0.025, 0.075, 0.05]",0.85,0.025,0.075,0.05,0.41731,-2.0153,-0.486
"[0.825, 0.025, 0.075, 0.075]",0.825,0.025,0.075,0.075,0.42079,-2.3004000000000002,-0.509
"[0.8, 0.025, 0.075, 0.1]",0.8,0.025,0.075,0.1,0.42483,-2.5856000000000003,-0.532
"[0.775, 0.025, 0.075, 0.125]",0.775,0.025,0.075,0.125,0.42987,-2.8708,-0.555
"[0.75, 0.025, 0.075, 0.15]",0.75,0.025,0.075,0.15,0.43537000000000003,-3.1557,-0.578
