name,OOF_mean,OOF_recency,OOF_folds,in_sample,gap
v9+v10_recent_tau0.55_chABC05_brand03,0.3986,0.4207,"[0.3297, 0.3912, 0.4749]",0.3653,0.0333
v9+all_v10_tau0.5_ch08_chABC05_brand03,0.3975,0.4213,"[0.3053, 0.4173, 0.47]",0.3525,0.045
v9+all_v10_tau0.52_ch08_chABC05_brand03,0.3979,0.4215,"[0.3055, 0.418, 0.4701]",0.3526,0.0453
v9+all_v10_tau0.5_ch08,0.3979,0.4219,"[0.3097, 0.4103, 0.4737]",0.3571,0.0408
v9+all_v10_tau0.55_ch08_chABC05_brand03,0.3982,0.4219,"[0.3056, 0.4188, 0.4702]",0.3529,0.0453
v9+v10_em+v10_recent_tau0.52_chABC05_brand03,0.3982,0.4222,"[0.325, 0.3883, 0.4814]",0.3632,0.035
v9+v10+v10_recent_tau0.52_chABC05_brand03,0.3982,0.4222,"[0.325, 0.3883, 0.4814]",0.3632,0.035
v9+v10+v10_recent_tau0.5_chABC05_brand03,0.3983,0.4222,"[0.325, 0.3883, 0.4815]",0.3633,0.035
v9+v10_em+v10_recent_tau0.5_chABC05_brand03,0.3983,0.4222,"[0.325, 0.3883, 0.4815]",0.3633,0.035
v9+v10+v10_recent_tau0.55_chABC05_brand03,0.3984,0.4223,"[0.3254, 0.3884, 0.4813]",0.3633,0.0351
v9+all_v10_tau0.52_ch08,0.3983,0.4223,"[0.3101, 0.4111, 0.4738]",0.3571,0.0412
v9+v10_em+v10_recent_tau0.55_chABC05_brand03,0.3984,0.4223,"[0.3254, 0.3884, 0.4813]",0.3633,0.0351
v9+all_v10_tau0.55_ch08,0.3988,0.4226,"[0.3106, 0.4119, 0.4739]",0.3574,0.0414
v9+v10_em_tau0.55_chABC08,0.3987,0.4233,"[0.3219, 0.3911, 0.4832]",0.3603,0.0384
v9+v10_tau0.5_chABC08,0.3986,0.4233,"[0.3215, 0.391, 0.4833]",0.3603,0.0383
v9+v10_tau0.55_chABC08,0.3987,0.4233,"[0.3219, 0.3911, 0.4832]",0.3603,0.0384
v9+v10_em_tau0.5_chABC08,0.3986,0.4233,"[0.3215, 0.391, 0.4833]",0.3603,0.0383
v9+v10_tau0.52_chABC08,0.3986,0.4233,"[0.3215, 0.3911, 0.4833]",0.3602,0.0384
v9+v10_em_tau0.52_chABC08,0.3986,0.4233,"[0.3215, 0.3911, 0.4833]",0.3602,0.0384
v9+v10_self_weekly_tau0.55_ch08_chABC05_brand03,0.398,0.4239,"[0.3112, 0.3988, 0.484]",0.3642,0.0338
v9_baseline_tau0.55_ch08_chABC05_brand03,0.398,0.4239,"[0.3112, 0.3988, 0.484]",0.3642,0.0338
v9+v10_zero_shot_tau0.55_ch08_chABC05_brand03,0.398,0.4239,"[0.3112, 0.3988, 0.484]",0.3641,0.0339
v9+v10_mint_tau0.55_ch08_chABC05_brand03,0.398,0.4239,"[0.3112, 0.3988, 0.484]",0.3642,0.0338
v9+v10_zero_shot_tau0.52_ch08_chABC05_brand03,0.3981,0.424,"[0.311, 0.3989, 0.4843]",0.364,0.0341
v9+v10_mint_tau0.5_ch08_chABC05_brand03,0.3981,0.424,"[0.311, 0.3989, 0.4843]",0.3639,0.0342
v9+v10_mint_tau0.52_ch08_chABC05_brand03,0.3981,0.424,"[0.311, 0.3989, 0.4843]",0.364,0.0341
v9+v10_self_weekly_tau0.52_ch08_chABC05_brand03,0.3981,0.424,"[0.311, 0.3989, 0.4843]",0.364,0.0341
v9+v10_zero_shot_tau0.5_ch08_chABC05_brand03,0.3981,0.424,"[0.311, 0.3989, 0.4843]",0.3639,0.0342
v9+v10_self_weekly_tau0.5_ch08_chABC05_brand03,0.3981,0.424,"[0.311, 0.3989, 0.4843]",0.3639,0.0342
v9_baseline_tau0.5_ch08_chABC05_brand03,0.3981,0.424,"[0.311, 0.3989, 0.4843]",0.3639,0.0342
v9_baseline_tau0.52_ch08_chABC05_brand03,0.3981,0.424,"[0.311, 0.3989, 0.4843]",0.364,0.0341
v9+all_v10_tau0.5_chABC08,0.4023,0.4248,"[0.3225, 0.4095, 0.475]",0.3585,0.0438
v9+all_v10_tau0.52_chABC08,0.4025,0.4251,"[0.3222, 0.4102, 0.4751]",0.3585,0.044
v9+all_v10_tau0.55_chABC08,0.403,0.4254,"[0.3226, 0.4111, 0.4752]",0.3588,0.0442
v9+all_v10_tau0.5_chABC05_brand03,0.4022,0.4255,"[0.325, 0.4018, 0.4799]",0.3633,0.0389
v9+v10_topdown_tau0.52_ch08,0.4,0.4256,"[0.3146, 0.4001, 0.4854]",0.3673,0.0327
v9+all_v10_tau0.52_chABC05_brand03,0.4024,0.4257,"[0.3247, 0.4026, 0.48]",0.3633,0.0391
v9+v10_topdown_tau0.52_ch08_chABC05_brand03,0.4005,0.4257,"[0.3112, 0.4084, 0.4819]",0.364,0.0365
v9+v10_topdown_tau0.55_ch08,0.4003,0.4257,"[0.3152, 0.401, 0.4847]",0.3676,0.0327
v9+v10_topdown_tau0.5_ch08,0.4001,0.4258,"[0.3146, 0.4002, 0.4856]",0.3673,0.0328
v9+v10_topdown_tau0.55_ch08_chABC05_brand03,0.4007,0.4258,"[0.3113, 0.4092, 0.4816]",0.3642,0.0365
v9+v10_topdown_tau0.5_ch08_chABC05_brand03,0.4006,0.4259,"[0.3112, 0.4084, 0.4822]",0.3639,0.0367
v9+v10_zero_shot_tau0.52_ch08,0.4,0.4261,"[0.3145, 0.3976, 0.4879]",0.3675,0.0325
v9+all_v10_tau0.55_chABC05_brand03,0.4029,0.4261,"[0.3251, 0.4035, 0.4801]",0.3638,0.0391
v9_baseline_tau0.5_ch08,0.4,0.4261,"[0.3145, 0.3976, 0.4879]",0.3674,0.0326
v9+v10_zero_shot_tau0.5_ch08,0.4,0.4261,"[0.3145, 0.3976, 0.4879]",0.3675,0.0325
v9+v10_em_tau0.5_chABC05_brand03,0.401,0.4261,"[0.3241, 0.3909, 0.4881]",0.3651,0.0359
v9+v10_em_tau0.52_chABC05_brand03,0.401,0.4261,"[0.3241, 0.3909, 0.4881]",0.365,0.036
v9+v10_self_weekly_tau0.5_ch08,0.4,0.4261,"[0.3145, 0.3976, 0.4879]",0.3674,0.0326
v9+v10_tau0.5_chABC05_brand03,0.401,0.4261,"[0.3241, 0.3909, 0.4881]",0.3651,0.0359
v9+v10_self_weekly_tau0.52_ch08,0.4,0.4261,"[0.3145, 0.3976, 0.4879]",0.3675,0.0325
v9+v10_mint_tau0.5_ch08,0.4,0.4261,"[0.3145, 0.3976, 0.4879]",0.3674,0.0326
v9+v10_mint_tau0.52_ch08,0.4,0.4261,"[0.3145, 0.3976, 0.4879]",0.3675,0.0325
v9+v10_tau0.52_chABC05_brand03,0.401,0.4261,"[0.3241, 0.3909, 0.4881]",0.365,0.036
v9_baseline_tau0.52_ch08,0.4,0.4261,"[0.3145, 0.3976, 0.4879]",0.3675,0.0325
v9+v10_self_weekly_tau0.55_ch08,0.4003,0.4262,"[0.3158, 0.3975, 0.4876]",0.3678,0.0325
v9+v10_em_tau0.55_chABC05_brand03,0.4011,0.4262,"[0.3245, 0.3909, 0.488]",0.3651,0.036
v9+v10_mint_tau0.55_ch08,0.4003,0.4262,"[0.3158, 0.3975, 0.4876]",0.3677,0.0326
v9_baseline_tau0.55_ch08,0.4003,0.4262,"[0.3158, 0.3975, 0.4876]",0.3677,0.0326
v9+v10_zero_shot_tau0.55_ch08,0.4003,0.4262,"[0.3158, 0.3975, 0.4876]",0.3678,0.0325
v9+v10_tau0.55_chABC05_brand03,0.4011,0.4262,"[0.3245, 0.3909, 0.488]",0.3651,0.036
v9+v10_topdown_tau0.55_chABC08,0.4049,0.429,"[0.3258, 0.4035, 0.4855]",0.3685,0.0364
v9+v10_topdown_tau0.52_chABC08,0.4047,0.429,"[0.3245, 0.4033, 0.4862]",0.3684,0.0363
v9+v10_topdown_tau0.5_chABC08,0.4045,0.429,"[0.3238, 0.4032, 0.4865]",0.3684,0.0361
v9+v10_mint_tau0.5_chABC08,0.4054,0.4301,"[0.3255, 0.4019, 0.4889]",0.3687,0.0367
v9_baseline_tau0.5_chABC08,0.4054,0.4301,"[0.3255, 0.4019, 0.4889]",0.3687,0.0367
v9+v10_zero_shot_tau0.5_chABC08,0.4054,0.4301,"[0.3255, 0.4019, 0.4889]",0.3688,0.0366
v9+v10_self_weekly_tau0.5_chABC08,0.4054,0.4301,"[0.3255, 0.4019, 0.4889]",0.3687,0.0367
v9+v10_self_weekly_tau0.52_chABC08,0.4056,0.4302,"[0.3262, 0.4018, 0.4889]",0.3688,0.0368
v9+v10_zero_shot_tau0.52_chABC08,0.4056,0.4302,"[0.3262, 0.4018, 0.4889]",0.3688,0.0368
v9_baseline_tau0.52_chABC08,0.4056,0.4302,"[0.3262, 0.4018, 0.4889]",0.3688,0.0368
v9+v10_mint_tau0.52_chABC08,0.4056,0.4302,"[0.3262, 0.4018, 0.4889]",0.3688,0.0368
v9+v10_mint_tau0.55_chABC08,0.406,0.4303,"[0.3275, 0.4018, 0.4886]",0.3689,0.0371
v9+v10_zero_shot_tau0.55_chABC08,0.406,0.4303,"[0.3275, 0.4018, 0.4886]",0.3689,0.0371
v9+v10_self_weekly_tau0.55_chABC08,0.406,0.4303,"[0.3275, 0.4018, 0.4886]",0.3689,0.0371
v9_baseline_tau0.55_chABC08,0.406,0.4303,"[0.3275, 0.4018, 0.4886]",0.3689,0.0371
v9+v10_topdown_tau0.5_chABC05_brand03,0.4067,0.4315,"[0.3266, 0.4024, 0.491]",0.3727,0.034
v9+v10_topdown_tau0.55_chABC05_brand03,0.4071,0.4315,"[0.3286, 0.4027, 0.49]",0.3726,0.0345
v9+v10_topdown_tau0.52_chABC05_brand03,0.4068,0.4316,"[0.3273, 0.4025, 0.4907]",0.3726,0.0342
v9_baseline_tau0.5_chABC05_brand03,0.4076,0.4327,"[0.3283, 0.4012, 0.4934]",0.3732,0.0344
v9+v10_self_weekly_tau0.5_chABC05_brand03,0.4076,0.4327,"[0.3283, 0.4012, 0.4934]",0.3732,0.0344
v9+v10_mint_tau0.5_chABC05_brand03,0.4076,0.4327,"[0.3283, 0.4012, 0.4934]",0.3732,0.0344
v9+v10_zero_shot_tau0.5_chABC05_brand03,0.4076,0.4327,"[0.3283, 0.4012, 0.4934]",0.3732,0.0344
v9+v10_mint_tau0.52_chABC05_brand03,0.4079,0.4329,"[0.329, 0.4012, 0.4934]",0.3732,0.0347
v9_baseline_tau0.52_chABC05_brand03,0.4079,0.4329,"[0.329, 0.4012, 0.4934]",0.3732,0.0347
v9+v10_zero_shot_tau0.52_chABC05_brand03,0.4079,0.4329,"[0.329, 0.4012, 0.4934]",0.3732,0.0347
v9+v10_self_weekly_tau0.52_chABC05_brand03,0.4079,0.4329,"[0.329, 0.4012, 0.4934]",0.3732,0.0347
v9+v10_self_weekly_tau0.55_chABC05_brand03,0.4082,0.433,"[0.3303, 0.4012, 0.4931]",0.3734,0.0348
v9_baseline_tau0.55_chABC05_brand03,0.4082,0.433,"[0.3303, 0.4012, 0.4931]",0.3733,0.0349
v9+v10_zero_shot_tau0.55_chABC05_brand03,0.4082,0.433,"[0.3303, 0.4012, 0.4931]",0.3733,0.0349
v9+v10_mint_tau0.55_chABC05_brand03,0.4082,0.433,"[0.3303, 0.4012, 0.4931]",0.3733,0.0349
