weights,w_base,w_v12ext,w_v11g93,w_chronos,OOF_recency,OOF_bias_recency_pct,last_fold_bias_pct
"(0.9, 0.025, 0.025, 0.05)",0.9,0.025,0.025,0.05,0.41675,-2.0347,-0.309
"(0.875, 0.025, 0.025, 0.075)",0.875,0.025,0.025,0.075,0.42102,-2.4921,-0.46
"(0.85, 0.025, 0.025, 0.1)",0.85,0.025,0.025,0.1,0.42686,-2.95,-0.612
"(0.825, 0.025, 0.025, 0.125)",0.825,0.025,0.025,0.125,0.43326,-3.4071000000000002,-0.763
"(0.8, 0.025, 0.025, 0.15)",0.8,0.025,0.025,0.15,0.44025000000000003,-3.8645,-0.914
"(0.75, 0.025, 0.025, 0.2)",0.75,0.025,0.025,0.2,0.45599,-4.779,-1.216
"(0.925, 0.025, 0.05, 0.0)",0.925,0.025,0.05,0.0,0.41132,-1.2822999999999998,-0.223
"(0.9, 0.025, 0.05, 0.025)",0.9,0.025,0.05,0.025,0.41411,-1.7397000000000002,-0.374
"(0.875, 0.025, 0.05, 0.05)",0.875,0.025,0.05,0.05,0.41759,-2.1968,-0.525
"(0.85, 0.025, 0.05, 0.075)",0.85,0.025,0.05,0.075,0.42206,-2.6547,-0.677
"(0.825, 0.025, 0.05, 0.1)",0.825,0.025,0.05,0.1,0.42789999999999995,-3.1121000000000003,-0.828
"(0.8, 0.025, 0.05, 0.125)",0.8,0.025,0.05,0.125,0.43435,-3.5692000000000004,-0.979
"(0.775, 0.025, 0.05, 0.15)",0.775,0.025,0.05,0.15,0.44136,-4.0266,-1.13
"(0.725, 0.025, 0.05, 0.2)",0.725,0.025,0.05,0.2,0.4572,-4.9411000000000005,-1.432
"(0.9, 0.025, 0.075, 0.0)",0.9,0.025,0.075,0.0,0.41208999999999996,-1.4444,-0.439
"(0.875, 0.025, 0.075, 0.025)",0.875,0.025,0.075,0.025,0.41495000000000004,-1.9018000000000002,-0.59
"(0.85, 0.025, 0.075, 0.05)",0.85,0.025,0.075,0.05,0.41846,-2.3594,-0.742
"(0.825, 0.025, 0.075, 0.075)",0.825,0.025,0.075,0.075,0.42315,-2.8168,-0.893
"(0.8, 0.025, 0.075, 0.1)",0.8,0.025,0.075,0.1,0.42896,-3.2742000000000004,-1.044
"(0.775, 0.025, 0.075, 0.125)",0.775,0.025,0.075,0.125,0.43545999999999996,-3.7313,-1.195
"(0.75, 0.025, 0.075, 0.15)",0.75,0.025,0.075,0.15,0.44252,-4.188700000000001,-1.346
"(0.7, 0.025, 0.075, 0.2)",0.7,0.025,0.075,0.2,0.45838,-5.1037,-1.649
"(0.875, 0.025, 0.1, 0.0)",0.875,0.025,0.1,0.0,0.41294000000000003,-1.607,-0.656
"(0.85, 0.025, 0.1, 0.025)",0.85,0.025,0.1,0.025,0.41581999999999997,-2.0644,-0.807
"(0.825, 0.025, 0.1, 0.05)",0.825,0.025,0.1,0.05,0.41935,-2.5215,-0.958
"(0.8, 0.025, 0.1, 0.075)",0.8,0.025,0.1,0.075,0.42422000000000004,-2.9789000000000003,-1.109
"(0.775, 0.025, 0.1, 0.1)",0.775,0.025,0.1,0.1,0.4301,-3.4363,-1.26
"(0.75, 0.025, 0.1, 0.125)",0.75,0.025,0.1,0.125,0.43655,-3.8933999999999997,-1.411
"(0.725, 0.025, 0.1, 0.15)",0.725,0.025,0.1,0.15,0.44367999999999996,-4.3508000000000004,-1.562
"(0.675, 0.025, 0.1, 0.2)",0.675,0.025,0.1,0.2,0.45959000000000005,-5.266,-1.865
"(0.85, 0.025, 0.125, 0.0)",0.85,0.025,0.125,0.0,0.41381,-1.7691,-0.872
"(0.825, 0.025, 0.125, 0.025)",0.825,0.025,0.125,0.025,0.41669,-2.2264999999999997,-1.023
"(0.8, 0.025, 0.125, 0.05)",0.8,0.025,0.125,0.05,0.42028999999999994,-2.6836,-1.174
"(0.775, 0.025, 0.125, 0.075)",0.775,0.025,0.125,0.075,0.42530999999999997,-3.1412,-1.325
"(0.75, 0.025, 0.125, 0.1)",0.75,0.025,0.125,0.1,0.43116,-3.5986,-1.476
"(0.725, 0.025, 0.125, 0.125)",0.725,0.025,0.125,0.125,0.43771000000000004,-4.0557,-1.627
"(0.7, 0.025, 0.125, 0.15)",0.7,0.025,0.125,0.15,0.44484,-4.5136,-1.779
"(0.6499999999999999, 0.025, 0.125, 0.2)",0.6499999999999999,0.025,0.125,0.2,0.46087,-5.4281,-2.081
"(0.825, 0.025, 0.15, 0.0)",0.825,0.025,0.15,0.0,0.41465,-1.9314,-1.088
"(0.8, 0.025, 0.15, 0.025)",0.8,0.025,0.15,0.025,0.41756,-2.3888,-1.239
"(0.775, 0.025, 0.15, 0.05)",0.775,0.025,0.15,0.05,0.42121000000000003,-2.8459,-1.39
"(0.75, 0.025, 0.15, 0.075)",0.75,0.025,0.15,0.075,0.42637,-3.3033,-1.541
"(0.725, 0.025, 0.15, 0.1)",0.725,0.025,0.15,0.1,0.4323,-3.7611999999999997,-1.693
"(0.7, 0.025, 0.15, 0.125)",0.7,0.025,0.15,0.125,0.4389,-4.2183,-1.844
"(0.675, 0.025, 0.15, 0.15)",0.675,0.025,0.15,0.15,0.446,-4.6757,-1.995
"(0.625, 0.025, 0.15, 0.2)",0.625,0.025,0.15,0.2,0.46208,-5.5902,-2.297
"(0.775, 0.025, 0.2, 0.0)",0.775,0.025,0.2,0.0,0.41642,-2.2556000000000003,-1.52
"(0.75, 0.025, 0.2, 0.025)",0.75,0.025,0.2,0.025,0.41937,-2.713,-1.671
"(0.725, 0.025, 0.2, 0.05)",0.725,0.025,0.2,0.05,0.4234,-3.1706000000000003,-1.823
"(0.7, 0.025, 0.2, 0.075)",0.7,0.025,0.2,0.075,0.4286,-3.628,-1.974
"(0.675, 0.025, 0.2, 0.1)",0.675,0.025,0.2,0.1,0.43462,-4.0854,-2.125
"(0.6499999999999999, 0.025, 0.2, 0.125)",0.6499999999999999,0.025,0.2,0.125,0.44121999999999995,-4.5425,-2.276
"(0.625, 0.025, 0.2, 0.15)",0.625,0.025,0.2,0.15,0.44842000000000004,-4.9999,-2.427
"(0.95, 0.05, 0.0, 0.0)",0.95,0.05,0.0,0.0,0.41037,-1.0844,0.078
"(0.925, 0.05, 0.0, 0.025)",0.925,0.05,0.0,0.025,0.41281,-1.5418,-0.073
"(0.9, 0.05, 0.0, 0.05)",0.9,0.05,0.0,0.05,0.41629,-1.9992,-0.224
"(0.875, 0.05, 0.0, 0.075)",0.875,0.05,0.0,0.075,0.42053,-2.4568,-0.376
"(0.85, 0.05, 0.0, 0.1)",0.85,0.05,0.0,0.1,0.42628999999999995,-2.9142,-0.527
"(0.825, 0.05, 0.0, 0.125)",0.825,0.05,0.0,0.125,0.43272,-3.3713,-0.678
"(0.8, 0.05, 0.0, 0.15)",0.8,0.05,0.0,0.15,0.43973,-3.8287,-0.829
"(0.75, 0.05, 0.0, 0.2)",0.75,0.05,0.0,0.2,0.45547000000000004,-4.7432,-1.131
"(0.925, 0.05, 0.025, 0.0)",0.925,0.05,0.025,0.0,0.41082,-1.2465000000000002,-0.138
"(0.9, 0.05, 0.025, 0.025)",0.9,0.05,0.025,0.025,0.41359999999999997,-1.7039000000000002,-0.289
"(0.875, 0.05, 0.025, 0.05)",0.875,0.05,0.025,0.05,0.41711,-2.1618,-0.441
"(0.85, 0.05, 0.025, 0.075)",0.85,0.05,0.025,0.075,0.42157,-2.6188999999999996,-0.592
"(0.825, 0.05, 0.025, 0.1)",0.825,0.05,0.025,0.1,0.42735,-3.0763000000000003,-0.743
"(0.8, 0.05, 0.025, 0.125)",0.8,0.05,0.025,0.125,0.43377999999999994,-3.5334,-0.894
"(0.775, 0.05, 0.025, 0.15)",0.775,0.05,0.025,0.15,0.44084,-3.9908,-1.045
"(0.725, 0.05, 0.025, 0.2)",0.725,0.05,0.025,0.2,0.45665,-4.9058,-1.348
"(0.9, 0.05, 0.05, 0.0)",0.9,0.05,0.05,0.0,0.41164,-1.4086,-0.354
"(0.875, 0.05, 0.05, 0.025)",0.875,0.05,0.05,0.025,0.41447,-1.8665000000000003,-0.506
"(0.85, 0.05, 0.05, 0.05)",0.85,0.05,0.05,0.05,0.41798,-2.3239,-0.657
"(0.825, 0.05, 0.05, 0.075)",0.825,0.05,0.05,0.075,0.42261,-2.781,-0.808
"(0.8, 0.05, 0.05, 0.1)",0.8,0.05,0.05,0.1,0.42849000000000004,-3.2383999999999995,-0.959
"(0.775, 0.05, 0.05, 0.125)",0.775,0.05,0.05,0.125,0.43494,-3.6955000000000005,-1.11
"(0.75, 0.05, 0.05, 0.15)",0.75,0.05,0.05,0.15,0.442,-4.1529,-1.261
"(0.7, 0.05, 0.05, 0.2)",0.7,0.05,0.05,0.2,0.45783,-5.0679,-1.564
"(0.875, 0.05, 0.075, 0.0)",0.875,0.05,0.075,0.0,0.41243,-1.5711999999999997,-0.571
"(0.85, 0.05, 0.075, 0.025)",0.85,0.05,0.075,0.025,0.41530999999999996,-2.0286,-0.722
