weights,w_base,w_v12ext,w_v11g93,w_chronos_ft,w_v12ext_g93,w_v14_nn,OOF_recency,OOF_bias_recency_pct
"[0.725, 0.0, 0.0, 0.05, 0.075, 0.15]",0.725,0.0,0.0,0.05,0.075,0.15,0.41775,-1.6526
"[0.85, 0.0, 0.0, 0.05, 0.1, 0.0]",0.85,0.0,0.0,0.05,0.1,0.0,0.41616,-1.8768
"[0.825, 0.0, 0.0, 0.05, 0.1, 0.025]",0.825,0.0,0.0,0.05,0.1,0.025,0.41614999999999996,-1.8594
"[0.8, 0.0, 0.0, 0.05, 0.1, 0.05]",0.8,0.0,0.0,0.05,0.1,0.05,0.4163,-1.8415000000000001
"[0.775, 0.0, 0.0, 0.05, 0.1, 0.075]",0.775,0.0,0.0,0.05,0.1,0.075,0.41659,-1.8240999999999998
"[0.75, 0.0, 0.0, 0.05, 0.1, 0.1]",0.75,0.0,0.0,0.05,0.1,0.1,0.41705000000000003,-1.8062
"[0.7, 0.0, 0.0, 0.05, 0.1, 0.15]",0.7,0.0,0.0,0.05,0.1,0.15,0.4183,-1.7713999999999999
"[0.8, 0.0, 0.0, 0.05, 0.15, 0.0]",0.8,0.0,0.0,0.05,0.15,0.0,0.41718999999999995,-2.1144000000000003
"[0.775, 0.0, 0.0, 0.05, 0.15, 0.025]",0.775,0.0,0.0,0.05,0.15,0.025,0.41715,-2.097
"[0.75, 0.0, 0.0, 0.05, 0.15, 0.05]",0.75,0.0,0.0,0.05,0.15,0.05,0.41737,-2.0791000000000004
"[0.725, 0.0, 0.0, 0.05, 0.15, 0.075]",0.725,0.0,0.0,0.05,0.15,0.075,0.41772,-2.0617
"[0.7, 0.0, 0.0, 0.05, 0.15, 0.1]",0.7,0.0,0.0,0.05,0.15,0.1,0.41813,-2.0438
"[0.65, 0.0, 0.0, 0.05, 0.15, 0.15]",0.65,0.0,0.0,0.05,0.15,0.15,0.41936,-2.0085
"[0.925, 0.0, 0.0, 0.075, 0.0, 0.0]",0.925,0.0,0.0,0.075,0.0,0.0,0.41911,-1.6871
"[0.9, 0.0, 0.0, 0.075, 0.0, 0.025]",0.9,0.0,0.0,0.075,0.0,0.025,0.4185,-1.6692
"[0.875, 0.0, 0.0, 0.075, 0.0, 0.05]",0.875,0.0,0.0,0.075,0.0,0.05,0.41805,-1.6518000000000002
"[0.85, 0.0, 0.0, 0.075, 0.0, 0.075]",0.85,0.0,0.0,0.075,0.0,0.075,0.41819,-1.6339
"[0.825, 0.0, 0.0, 0.075, 0.0, 0.1]",0.825,0.0,0.0,0.075,0.0,0.1,0.41858,-1.6165
