name,OOF_mean,OOF_recency,OOF_bias_recency_pct,OOF_folds,OOF_bias_folds,fold_bias_signs,last_two_agree,all_agree,bias_stability_score,in_sample,gap
v10_baseline_tau0.52_ch08_chABC_brand,0.3881,0.413,-0.78,"[0.3053, 0.3876, 0.4714]","[-0.771, 0.187, -1.364]","[-1, 1, -1]",False,False,-0.2551,0.3525,0.0356
v10+v12_intermittent_tau0.52_ch08_chABC_brand,0.3881,0.413,-0.767,"[0.3053, 0.3876, 0.4713]","[-0.771, 0.187, -1.338]","[-1, 1, -1]",False,False,-0.2502,0.3526,0.0355
v10+v12_intermittent_tau0.5_ch08_chABC_brand,0.3881,0.413,-0.773,"[0.3053, 0.3876, 0.4713]","[-0.763, 0.194, -1.358]","[-1, 1, -1]",False,False,-0.2635,0.3525,0.0356
v10+v11_recent_only_tau0.52_ch08_chABC_brand,0.3885,0.4131,-0.917,"[0.3074, 0.387, 0.471]","[-1.195, 0.3, -1.537]","[-1, 1, -1]",False,False,-0.4611,0.3521,0.0364
v10+v11_recent_only_tau0.5_ch08_chABC_brand,0.3884,0.4131,-0.915,"[0.307, 0.3871, 0.4711]","[-1.147, 0.304, -1.553]","[-1, 1, -1]",False,False,-0.4721,0.352,0.0364
v10+v11_recent_only_tau0.55_ch08_chABC_brand,0.3887,0.4132,-0.927,"[0.3084, 0.3869, 0.4709]","[-1.311, 0.296, -1.507]","[-1, 1, -1]",False,False,-0.4461,0.3522,0.0365
v10+v12_multiseed_tau0.52_ch08,0.3888,0.4136,-1.578,"[0.3106, 0.3823, 0.4736]","[-1.672, -0.299, -2.308]","[-1, -1, -1]",True,True,0.6901,0.3556,0.0332
v10+v12_multiseed_tau0.55_ch08,0.3889,0.4136,-1.579,"[0.3111, 0.3824, 0.4733]","[-1.73, -0.309, -2.28]","[-1, -1, -1]",True,True,0.7045,0.3556,0.0333
v10+v12_multiseed_tau0.5_ch08,0.3889,0.4137,-1.583,"[0.3106, 0.3824, 0.4737]","[-1.659, -0.301, -2.321]","[-1, -1, -1]",True,True,0.6986,0.3556,0.0333
v10+v11_g90_tau0.5_ch08_chABC_brand,0.3897,0.4139,-0.932,"[0.309, 0.3902, 0.47]","[-1.361, 0.553, -1.651]","[-1, 1, -1]",False,False,-0.913,0.3519,0.0378
v10+v11_g90_tau0.55_ch08_chABC_brand,0.3899,0.4139,-0.94,"[0.3098, 0.3901, 0.4699]","[-1.444, 0.531, -1.621]","[-1, 1, -1]",False,False,-0.8608,0.3521,0.0378
v10+v11_g90_tau0.52_ch08_chABC_brand,0.3898,0.4139,-0.934,"[0.3092, 0.3902, 0.47]","[-1.387, 0.545, -1.641]","[-1, 1, -1]",False,False,-0.8943,0.3519,0.0379
v10+v11_g93_tau0.55_ch08_chABC_brand,0.3898,0.4143,-0.875,"[0.3082, 0.3896, 0.4716]","[-1.266, 0.505, -1.547]","[-1, 1, -1]",False,False,-0.7812,0.3525,0.0373
v10+v11_g93_tau0.52_ch08_chABC_brand,0.3896,0.4143,-0.864,"[0.3075, 0.3897, 0.4717]","[-1.197, 0.525, -1.565]","[-1, 1, -1]",False,False,-0.8216,0.3522,0.0374
